S.N.,Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
360,2018-03-26,67,11600.00,8113680.00,718.00,691.00,700.00
361,2018-03-22,38,10637.00,7611325.00,720.00,710.00,720.00
362,2018-03-21,20,4200.00,3035170.00,748.00,716.00,728.00
363,2018-03-20,22,1600.00,1166810.00,749.00,726.00,735.00
364,2018-03-19,20,1780.00,1301530.00,748.00,726.00,736.00
365,2018-03-18,21,2575.00,1885250.00,749.00,726.00,736.00
366,2018-03-15,19,3630.00,2662510.00,773.00,732.00,735.00
367,2018-03-14,21,3995.00,2901278.00,728.00,722.00,728.00
368,2018-03-13,19,3470.00,2509720.00,732.00,721.00,724.00
369,2018-03-12,32,17160.00,12342670.00,730.00,715.00,718.00
370,2018-03-11,30,8830.00,6358425.00,730.00,718.00,719.00
371,2018-03-07,16,2790.00,2034510.00,739.00,720.00,730.00
372,2018-03-06,45,10525.00,7594660.00,742.00,712.00,725.00
373,2018-03-05,39,9990.00,7270150.00,753.00,725.00,728.00
374,2018-03-04,42,12975.00,9419285.00,745.00,721.00,739.00
375,2018-02-28,33,6200.00,4616910.00,755.00,735.00,748.00
376,2018-02-27,21,4785.00,3588435.00,760.00,745.00,758.00
377,2018-02-26,15,3975.00,2980925.00,765.00,745.00,745.00
378,2018-02-25,23,4225.00,3175840.00,765.00,750.00,754.00
379,2018-02-22,19,3998.00,3001571.00,760.00,748.00,757.00
380,2018-02-21,21,1840.00,1386770.00,762.00,748.00,750.00
381,2018-02-20,31,3265.00,2477925.00,769.00,755.00,755.00
382,2018-02-18,30,5695.00,4334050.00,768.00,755.00,755.00
383,2018-02-15,23,5860.00,4496390.00,790.00,760.00,766.00
384,2018-02-14,26,6065.00,4611610.00,765.00,758.00,761.00
385,2018-02-12,13,6940.00,5276370.00,769.00,759.00,762.00
386,2018-02-11,16,3850.00,2935810.00,770.00,757.00,759.00
387,2018-02-08,24,8170.00,6258660.00,770.00,752.00,770.00
388,2018-02-07,18,5670.00,4316020.00,765.00,760.00,760.00
389,2018-02-06,20,7615.00,5839770.00,770.00,765.00,769.00
390,2018-02-05,12,1425.00,1093000.00,770.00,766.00,768.00
391,2018-02-04,33,15710.00,12157680.00,785.00,770.00,771.00
392,2018-02-01,31,4890.00,3738944.00,770.00,760.00,770.00
393,2018-01-31,18,980.00,749400.00,770.00,760.00,760.00
394,2018-01-29,32,3849.00,2935354.00,770.00,760.00,769.00
395,2018-01-28,25,4700.00,3603610.00,778.00,763.00,771.00
396,2018-01-25,17,2880.00,2228625.00,785.00,771.00,775.00
