S.N.,Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
346,4/15/2018,27,7648,2538264,340,326,340
347,4/12/2018,39,9067,3064628,340,332,337
348,4/11/2018,45,5135,1702717,335,328,335
349,4/10/2018,37,6099,2023472,337,325,334
350,4/9/2018,80,13810,4682890,346,334,335
351,4/8/2018,115,17000,5765359,348,331,340
352,4/5/2018,103,22167,7296728,335,321,331
353,4/4/2018,81,12813,4139091,326,315,325
354,4/3/2018,33,3431,1080948,318,310,315
355,4/2/2018,33,6267,1957517,318,310,314
356,4/1/2018,56,6979,2181409,320,308,313
357,3/29/2018,66,8252,2610653,320,311,318
358,3/28/2018,99,12154,3801930,317,307,311
359,3/27/2018,86,16469,4927113,326,283,316
360,3/26/2018,86,10390,3161312,313,299,300
361,3/22/2018,55,6600,2077888,320,310,316
362,3/21/2018,73,11081,3509629,321,314,316
363,3/20/2018,25,2133,689613,327,321,323
364,3/19/2018,30,5937,1939750,335,325,325
365,3/18/2018,39,5791,1934030,339,333,334
366,3/15/2018,58,10440,3496620,337,330,335
367,3/14/2018,36,8410,2787208,335,328,335
368,3/13/2018,46,8561,2828509,333,327,333
369,3/12/2018,28,10231,3365920,331,326,328
370,3/11/2018,43,6491,2131371,331,326,326
371,3/7/2018,45,6817,2256339,333,327,330
372,3/6/2018,51,5748,1861617,328,320,327
373,3/5/2018,64,16594,5384502,330,323,324
374,3/4/2018,61,16726,5461805,330,325,328
375,2/28/2018,39,13018,4369744,339,334,334
376,2/27/2018,42,4409,1484882,342,332,338
377,2/26/2018,34,4951,1661667,337,335,335
378,2/25/2018,33,3932,1323562,342,335,338
379,2/22/2018,47,4099,1394160,342,338,340
380,2/21/2018,23,2461,836966,341,339,340
381,2/20/2018,52,6728,2317045,351,340,340
382,2/18/2018,91,11904,4191852,359,348,350
383,2/15/2018,58,7548,2607158,350,341,350
384,2/14/2018,36,4167,1408438,342,335,340
385,2/12/2018,35,3785,1289922,342,340,340
386,2/11/2018,28,1760,601865,343,341,342
387,2/8/2018,39,3523,1208072,345,336,342
388,2/7/2018,25,5012,1715421,346,341,342
389,2/6/2018,44,5214,1780333,347,340,347
390,2/5/2018,57,8109,2793340,350,342,342
391,2/4/2018,57,8959,3116418,350,342,350
392,2/1/2018,53,6191,2133740,345,343,344
393,1/31/2018,42,4790,1636893,344,340,344
394,1/29/2018,62,8266,2828715,347,340,340
395,1/28/2018,341,49337,20640167,423,415,415
396,1/25/2018,141,13110,5476669,420,417,420
397,1/24/2018,86,14131,5896929,420,412,419
398,1/23/2018,98,15725,6564115,421,415,416
399,1/22/2018,108,18056,7571323,422,418,420
400,1/21/2018,153,21733,9065805,420,413,419
401,1/17/2018,48,6401,2647102,417,409,413
402,1/16/2018,34,4270,1778362,421,415,417
403,1/14/2018,66,10523,4415231,427,417,420
404,1/10/2018,70,7277,3089550,427,421,425
405,1/9/2018,44,7302,3105363,427,422,425
406,1/8/2018,57,8389,3558019,430,420,425
